metrica,ambiente,n_vms,kruskal_h,kruskal_p,heterogeneo
cache_bogo_ops_s_cpu,kvm,3,9.979999999999997,0.006805664492230557,True
cache_bogo_ops_s_cpu,qemu,3,1.1400000000000006,0.5655254386995369,False
cache_bogo_ops_s_real,kvm,3,9.979999999999997,0.006805664492230557,True
cache_bogo_ops_s_real,qemu,3,4.859999999999992,0.08803683258237291,False
cpu_bogo_ops_s_cpu,kvm,3,9.979999999999997,0.006805664492230557,True
cpu_bogo_ops_s_cpu,qemu,3,0.3200000000000074,0.8521437889662082,False
cpu_bogo_ops_s_real,kvm,3,4.579999999999998,0.1012664618538835,False
cpu_bogo_ops_s_real,qemu,3,0.4200000000000088,0.8105842459701835,False
disk_iops_qd1,kvm,3,7.460000000000008,0.023992835836709074,True
disk_iops_qd1,qemu,3,4.160000000000004,0.12493021219858218,False
disk_iops_randread,kvm,3,12.5,0.0019304541362277095,True
disk_iops_randread,qemu,3,0.14000000000000057,0.9323938199059479,False
disk_iops_randwrite,kvm,3,12.522361359570661,0.0019089905589744962,True
disk_iops_randwrite,qemu,3,0.14000000000000057,0.9323938199059479,False
disk_lat_avg_usec,kvm,3,7.460000000000008,0.023992835836709074,True
disk_lat_avg_usec,qemu,3,3.1200000000000045,0.21013607120076422,False
disk_seqread_MiBs,kvm,3,5.872794117647057,0.05305654439161533,False
disk_seqread_MiBs,qemu,3,9.609683426443206,0.008189997280065054,True
disk_seqwrite_MiBs,kvm,3,12.544802867383513,0.0018876899735039802,True
disk_seqwrite_MiBs,qemu,3,5.153405017921152,0.07602428053763388,False
gpu_matrixmul_gflops,kvm,3,1.0399999999999991,0.5945205479701946,False
gpu_nccl_allgather_busbw_gbs,kvm,3,0.6200000000000045,0.7334469562242876,False
gpu_nccl_allreduce_busbw_gbs,kvm,3,5.840000000000003,0.05393368730035593,False
gpu_nccl_sendrecv_busbw_gbs,kvm,3,0.4200000000000088,0.8105842459701835,False
mem_bogo_ops_s_cpu,kvm,3,6.660000000000004,0.03579310506765523,True
mem_bogo_ops_s_cpu,qemu,3,0.6200000000000045,0.7334469562242876,False
mem_bogo_ops_s_real,kvm,3,6.02000000000001,0.04929167876046191,True
mem_bogo_ops_s_real,qemu,3,0.980000000000004,0.612626394184415,False
stream_add_mbs,kvm,3,8.420000000000009,0.014846368338086766,True
stream_copy_mbs,kvm,3,3.780000000000001,0.15107180883637075,False
stream_scale_mbs,kvm,3,6.540000000000013,0.03800642707517407,True
stream_triad_mbs,kvm,3,7.6200000000000045,0.022148178957037273,True
