metrica,ambiente,n,media,mediana,desvio,q1,q3,iqr
cache_bogo_ops_s_cpu,host,15,314.29,314.08,1.5081635000414078,313.16499999999996,315.30499999999995,2.1399999999999864
cache_bogo_ops_s_cpu,kvm,15,3795.5406666666668,3305.26,1077.5980872720504,3024.885,4270.875,1245.9899999999998
cache_bogo_ops_s_cpu,qemu,15,569.42,584.15,102.57136679265946,460.16499999999996,666.5699999999999,206.40499999999997
cache_bogo_ops_s_real,host,15,4989.5380000000005,4986.37,25.344626987644755,4969.905,5005.8150000000005,35.910000000000764
cache_bogo_ops_s_real,kvm,15,21161.163333333334,21870.95,7713.160869901584,15227.955000000002,26982.69,11754.734999999997
cache_bogo_ops_s_real,qemu,15,7308.034666666667,6727.33,1433.388313292602,6111.275,8853.244999999999,2741.9699999999993
cpu_bogo_ops_s_cpu,host,15,335.51733333333334,335.76,0.7824820095299967,335.685,335.77,0.08499999999997954
cpu_bogo_ops_s_cpu,kvm,15,334.99133333333333,335.41,1.1297715740466285,334.90999999999997,335.52,0.6100000000000136
cpu_bogo_ops_s_cpu,qemu,15,21.946,20.23,5.291824962011822,18.425,24.585,6.16
cpu_bogo_ops_s_real,host,15,5368.274666666666,5372.12,12.534111665295173,5370.99,5372.344999999999,1.3549999999995634
cpu_bogo_ops_s_real,kvm,15,5348.370666666667,5362.37,31.449986933148978,5354.594999999999,5367.145,12.550000000001091
cpu_bogo_ops_s_real,qemu,15,347.926,323.14,80.56270918625174,294.075,387.57,93.495
disk_iops_qd1,host,15,1845.8,1607.0,779.780756733217,1217.0,2254.0,1037.0
disk_iops_qd1,kvm,15,1995.6666666666667,2160.0,781.5943107947157,1453.0,2634.5,1181.5
disk_iops_qd1,qemu,15,1342.6666666666667,1444.0,285.89300362864697,1160.5,1499.5,339.0
disk_iops_randread,host,15,39180.0,40600.0,5024.681937339772,38750.0,41750.0,3000.0
disk_iops_randread,kvm,15,30120.0,30100.0,6913.878382334642,24650.0,36400.0,11750.0
disk_iops_randread,qemu,15,6984.133333333333,6886.0,360.4163993943407,6757.0,7233.0,476.0
disk_iops_randwrite,host,15,16762.866666666665,17500.0,2189.477526282295,16800.0,17850.0,1050.0
disk_iops_randwrite,kvm,15,12926.6,12100.0,2948.41458123805,10850.0,15650.0,4800.0
disk_iops_randwrite,qemu,15,3001.5333333333333,2958.0,155.26514955606316,2903.5,3108.5,205.0
disk_lat_avg_usec,host,15,619.8073333333334,612.13,237.43024929038683,434.545,811.3399999999999,376.7949999999999
disk_lat_avg_usec,kvm,15,612.106,445.18,379.2700702439584,362.96500000000003,693.4,330.43499999999995
disk_lat_avg_usec,qemu,15,604.964,533.34,150.56110396020046,508.545,692.29,183.74499999999995
disk_seqread_MiBs,host,15,511.73333333333335,513.0,4.18273093746634,512.0,514.0,2.0
disk_seqread_MiBs,kvm,15,494.2,496.0,15.166692830955986,483.5,503.0,19.5
disk_seqread_MiBs,qemu,15,499.8666666666667,509.0,12.77758453960164,486.0,510.0,24.0
disk_seqwrite_MiBs,host,15,447.46666666666664,449.0,19.569899140796622,438.0,459.5,21.5
disk_seqwrite_MiBs,kvm,15,439.8666666666667,437.0,11.262242016494524,432.5,449.5,17.0
